timestamp,group,tar,scientific,birdnet,tar_sex,alarm,flock,flock_sex,flock_proximity,aux_response,auxID,tar_add_to_flock
,,98,,,,,,,,,,
230707-105511,msf,mylo,Myrmotherula longipennis,Myrmotherula longipennis,,0,haru,u,,,,0
230707-105511,msf,mylo,Myrmotherula longipennis,Myrmotherula longipennis,,0,auin,u,,,,0
230707-105511,msf,mylo,Myrmotherula longipennis,Myrmotherula longipennis,,0,mylo,u,,,,0
230707-105511,msf,mylo,Myrmotherula longipennis,Myrmotherula longipennis,,0,xiel,u,,,,0
230707-105511,msf,mylo,Myrmotherula longipennis,Myrmotherula longipennis,,0,mylo,,,,,1
230708-064826,msf,haru,Habia rubica,Habia rubica,,0,mylo,m,,,,0
230708-064826,msf,haru,Habia rubica,Habia rubica,,0,myax,m,,,,0
230708-064826,msf,haru,Habia rubica,Habia rubica,,0,haru,f,,,,0
230708-064826,msf,haru,Habia rubica,Habia rubica,,0,miel,u,,,,0
230708-064826,msf,haru,Habia rubica,Habia rubica,,0,xigu,u,,,,0
230708-064826,msf,haru,Habia rubica,Habia rubica,,0,thar,m,,,,0
230708-064826,msf,haru,Habia rubica,Habia rubica,,0,haru,,,,,1
230708-094158,msf,thar,Thamnomanes ardesiacus,Thamnomanes ardesiacus,,0,thar,f,,,,0
230708-094158,msf,thar,Thamnomanes ardesiacus,Thamnomanes ardesiacus,,0,tasc,u,,,,0
230708-094158,msf,thar,Thamnomanes ardesiacus,Thamnomanes ardesiacus,,0,mylo,u,,,,0
230708-094158,msf,thar,Thamnomanes ardesiacus,Thamnomanes ardesiacus,,0,thar,,,,,1
230709-061134,msf,myhy,Myrmelastes hyperythrus,Myrmeciza hyperythra,,0,myhy,,,,,0
230709-061134,msf,myhy,Myrmelastes hyperythrus,Myrmeciza hyperythra,,0,myax,u,,,,0
230709-061134,msf,myhy,Myrmelastes hyperythrus,Myrmeciza hyperythra,,0,myle,u,,,,0
230709-061134,msf,myhy,Myrmelastes hyperythrus,Myrmeciza hyperythra,,0,myhy,,,,,1
230709-080512,msf,tasc,Tangara schrankii,Tangara schrankii,,1,thar,u,,,,0
230709-080512,msf,tasc,Tangara schrankii,Tangara schrankii,,1,hummingbird,u,,,,0
230709-080512,msf,tasc,Tangara schrankii,Tangara schrankii,,1,myle,u,,,,0
230709-080512,msf,tasc,Tangara schrankii,Tangara schrankii,,1,haru,u,,,,0
230709-080512,msf,tasc,Tangara schrankii,Tangara schrankii,,1,tasc,,,,,1
230709-084511,msf,myle,Myrmoborus leucophrys,Myrmoborus leucophrys,,1,cyli,,,,,0
230709-084511,msf,myle,Myrmoborus leucophrys,Myrmoborus leucophrys,,1,myli,,,,,0
230709-084511,msf,myle,Myrmoborus leucophrys,Myrmoborus leucophrys,,1,thar,,,,,0
230709-084511,msf,myle,Myrmoborus leucophrys,Myrmoborus leucophrys,,1,catu,,,,,0
230709-084511,msf,myle,Myrmoborus leucophrys,Myrmoborus leucophrys,,1,myat,,,,,0
230709-084511,msf,myle,Myrmoborus leucophrys,Myrmoborus leucophrys,,1,myle,,,,,1
230711-064847,solo,foan,Formicarius analis,Formicarius analis,,0,na,,,,,0
230711-083202,msf,myme,Myrmotherula menetriesii,Myrmotherula menetriesii,,0,thar,u,,,,0
230711-083202,msf,myme,Myrmotherula menetriesii,Myrmotherula menetriesii,,0,myme,,,,,1
230711-092039,msf,myle,Myrmoborus leucophrys,Myrmoborus leucophrys,,0,myme,m,,,,0
230711-092039,msf,myle,Myrmoborus leucophrys,Myrmoborus leucophrys,,0,myle,,,,,1
230711-095636,pair,moni,Monasa nigrifrons,Monasa nigrifrons,,1,moni,u,,,,0
230711-095636,pair,moni,Monasa nigrifrons,Monasa nigrifrons,,1,moni,,,,,1
