BirdTree,alarm
Ammodramus aurifrons,0
Ancistrops strigilatus,0
Attila bolivianus,1
Automolus infuscatus,0
Baryphthengus martii,0
Brotogeris cyanoptera,0
Cacicus cela,1
Campephilus rubricollis,0
Camptostoma obsoletum,0
Campylorhynchus turdinus,0
Capito auratus,0
Cercomacra nigrescens,0
Cercomacra serva,0
Chelidoptera tenebrosa,0
Crotophaga ani,0
Crypturellus undulatus,0
Cyanocorax violaceus,1
Cymbilaimus lineatus,1
Cyphorhinus arada,0
Dacnis cayana,0
Dendrexetastes rufigula,0
Dendrocincla fuliginosa,0
Dendrocincla merula,0
Dichrozona cincta,0
Epinecrophylla haematonota,1
Eubucco richardsoni,0
Euphonia chlorotica,0
Formicarius analis,0
Formicarius colma,0
Galbula cyanescens,0
Glyphorynchus spirurus,0
Gymnopithys salvini,1
Habia rubica,1
Hemitriccus griseipectus,0
Hylophilus hypoxanthus,0
Hylophilus ochraceiceps,0
Hypocnemoides maculicauda,0
Laniocera hypopyrra,0
Lathrotriccus euleri,0
Legatus leucophaius,0
Lepidothrix coronata,0
Leptopogon amaurocephalus,0
Lipaugus vociferans,0
Machaeropterus pyrocephalus,0
Megarynchus pitangua,0
Melanerpes cruentatus,0
Monasa morphoeus,1
Monasa nigrifrons,1
Myiodynastes maculatus,0
Myiopagis gaimardii,0
Myiozetetes cayanensis,1
Myiozetetes granadensis,0
Myiozetetes similis,0
Myrmeciza fortis,0
Myrmeciza hemimelaena,1
Myrmeciza hyperythra,0
Myrmoborus leucophrys,1
Myrmoborus myotherinus,0
Myrmotherula axillaris,1
Myrmotherula longipennis,1
Myrmotherula menetriesii,0
Nasica longirostris,0
Pachyramphus minor,1
Pachyramphus polychopterus,0
Penelope jacquacu,0
Phaethornis malaris,0
Philydor erythrocercum,0
Philydor pyrrhodes,0
Phlegopsis nigromaculata,0
Pipra fasciicauda,0
Pipra mentalis,0
Piprites chloris,0
Platyrinchus coronatus,0
Platyrinchus platyrhynchos,1
Psarocolius decumanus,0
Pygiptila stellaris,0
Pyrocephalus rubinus,0
Querula purpurata,1
Ramphocaenus melanurus,0
Ramphocelus carbo,1
Ramphocelus nigrogularis,0
Rhegmatorhina melanosticta,0
Saltator maximus,0
Schiffornis major,0
Sittasomus griseicapillus,0
Sporophila caerulescens,0
Synallaxis gujanensis,0
Tachyphonus luctuosus,0
Tangara chilensis,0
Tangara mexicana,0
Tangara schrankii,1
Terenotriccus erythrurus,1
Thamnomanes ardesiacus,1
Thamnomanes schistogynus,1
Thamnophilus aethiops,0
Thamnophilus doliatus,0
Thamnophilus schistaceus,0
Thraupis episcopus,0
Thryothorus genibarbis,0
Thryothorus leucotis,0
Todirostrum chrysocrotaphum,0
Tolmomyias assimilis,0
Troglodytes aedon,0
Trogon collaris,0
Trogon curucui,0
Trogon melanurus,0
Trogon viridis,0
Turdus albicollis,0
Tyranneutes stolzmanni,0
Tyrannulus elatus,0
Tyrannus melancholicus,1
Veniliornis affinis,0
Vireo olivaceus,0
Volatinia jacarina,0
Willisornis poecilinotus,1
Xenops minutus,0
Xenops rutilans,0
Xiphorhynchus elegans,0
Xiphorhynchus guttatus,0
